trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,instrument,timeframe,fold_id,net_R
T3-M15-WF01-test-CNY-000001,T3,CNY,LONG,2024-02-01 18:15:00+03:00,12.58,12.5491601491,0.0308398508971,2024-02-02 17:00:00+03:00,12.6233387029,ATR_TRAILING_STOP,55,1405.28250583,1.40528250583,0.01,0.085,0.324255782992,2.75617415543,0.0433387029483,1.40528250583,32425.5782992,0,1405.28250583,0.001,30.8398508971,0,T3_MTF_Trend_v1.0,0.0308398508971,CNYRUBF,M15,WF01,1.34043134924
T3-M15-WF01-test-CNY-000002,T3,CNY,LONG,2024-02-05 10:00:00+03:00,12.64,12.6120744602,0.0279255397579,2024-02-05 12:30:00+03:00,12.625,ATR_TRAILING_STOP,10,-544.691078767,-0.537142706284,0.015,0.037,0.537142706284,1.32495200883,-0.015,-0.537142706284,36312.7385844,0,-544.691078767,0.001,27.9255397579,0,T3_MTF_Trend_v1.0,0.0279255397579,CNYRUBF,M15,WF01,-0.608761733788
T3-M15-WF01-test-Si-000001,T3,Si,LONG,2024-02-05 10:00:00+03:00,91.25,91.040365379,0.209634620965,2024-02-05 12:30:00+03:00,91.2339088592,ATR_TRAILING_STOP,10,-76.7580311164,-0.0767580311164,0.08,0.37,0.381616355313,1.76497564332,-0.0160911407591,-0.0767580311164,4770.20444141,0,-76.7580311164,0.001,209.634620965,0,T3_MTF_Trend_v1.0,0.209634620965,USDRUBF,M15,WF01,-0.0862984399993
T3-M15-WF01-test-CNY-000003,T3,CNY,LONG,2024-02-15 13:45:00+03:00,12.717,12.6924322115,0.0245677884611,2024-02-15 14:15:00+03:00,12.6924322115,ATR_TRAILING_STOP,2,-1008.60591427,-1,0.0245677884611,0.006,1,0.244222226576,-0.0245677884611,-1,41053.9970201,0,-1008.60591427,0.001,24.5677884611,0,T3_MTF_Trend_v1.0,0.0245677884611,CNYRUBF,M15,WF01,-1.08140740886
T3-M15-WF01-test-Si-000002,T3,Si,LONG,2024-02-15 13:45:00+03:00,92.19,92.00417493,0.185825069957,2024-02-15 14:30:00+03:00,92.00417493,ATR_TRAILING_STOP,3,-999.232419689,-1,0.185825069957,0.04,1,0.215256208483,-0.185825069957,-1,5377.27455139,0,-999.232419689,0.001,185.825069957,0,T3_MTF_Trend_v1.0,0.185825069957,USDRUBF,M15,WF01,-1.01076281042
T3-M15-WF01-test-CNY-000004,T3,CNY,LONG,2024-02-15 17:15:00+03:00,12.731,12.6973329509,0.0336670490885,2024-02-15 21:45:00+03:00,12.7164508672,ATR_TRAILING_STOP,18,-431.50791062,-0.432147551602,0.02,0.019,0.594052658058,0.564350025155,-0.0145491328333,-0.432147551602,29658.6687031,0,-431.50791062,0.001,33.6670490885,0,T3_MTF_Trend_v1.0,0.0336670490885,CNYRUBF,M15,WF01,-0.491552817408
T3-M15-WF01-test-CNY-000005,T3,CNY,LONG,2024-02-16 09:45:00+03:00,12.734,12.7175860745,0.0164139255454,2024-02-16 10:45:00+03:00,12.7175860745,ATR_TRAILING_STOP,4,-994.204776022,-1,0.0164139255454,0.012,1,0.731086537878,-0.0164139255454,-1,60570.810637,0,-994.204776022,0.001,16.4139255454,0,T3_MTF_Trend_v1.0,0.0164139255454,CNYRUBF,M15,WF01,-1.12184775631
T3-M15-WF01-test-CNY-000006,T3,CNY,LONG,2024-02-16 11:45:00+03:00,12.765,12.7371133695,0.0278866305251,2024-02-16 12:30:00+03:00,12.7371133695,ATR_TRAILING_STOP,3,-984.262728262,-1,0.0278866305251,0.009,1,0.322735297544,-0.0278866305251,-1,35295.147163,0,-984.262728262,0.001,27.8866305251,0,T3_MTF_Trend_v1.0,0.0278866305251,CNYRUBF,M15,WF01,-1.07171895501
T3-M15-WF01-test-Si-000003,T3,Si,LONG,2024-02-16 11:45:00+03:00,92.49,92.2717864559,0.218213544113,2024-02-16 12:30:00+03:00,92.2717864559,ATR_TRAILING_STOP,3,-989.240095492,-1,0.218213544113,0.06,1,0.274960017921,-0.218213544113,-1,4533.35790641,0,-989.240095492,0.001,218.213544113,0,T3_MTF_Trend_v1.0,0.218213544113,USDRUBF,M15,WF01,-1.00916533393
T3-M15-WF01-test-CNY-000007,T3,CNY,LONG,2024-02-16 14:30:00+03:00,12.788,12.7492673332,0.0387326668475,2024-02-16 16:30:00+03:00,12.7492673332,ATR_TRAILING_STOP,8,-974.420100979,-1,0.0387326668475,0.007,1,0.180726001325,-0.0387326668475,-1,25157.5783515,0,-974.420100979,0.001,38.7326668475,0,T3_MTF_Trend_v1.0,0.0387326668475,CNYRUBF,M15,WF01,-1.05163600038
T3-M15-WF01-test-Si-000004,T3,Si,LONG,2024-02-16 14:30:00+03:00,92.8,92.5206962579,0.27930374211,2024-02-16 17:00:00+03:00,92.5206962579,ATR_TRAILING_STOP,10,-979.347694537,-1,0.27930374211,0.04,1,0.143213262013,-0.27930374211,-1,3506.38944949,0,-979.347694537,0.001,279.30374211,0,T3_MTF_Trend_v1.0,0.27930374211,USDRUBF,M15,WF01,-1.0071606631
T3-M15-WF01-test-Si-000005,T3,Si,LONG,2024-02-19 10:30:00+03:00,92.36,92.1547584809,0.205241519099,2024-02-19 15:45:00+03:00,92.2487958119,ATR_TRAILING_STOP,21,-525.32494419,-0.541821111866,0.111204188079,0.2,0.541821111866,0.974461701892,-0.111204188079,-0.541821111866,4723.96726475,0,-525.32494419,0.001,205.241519099,0,T3_MTF_Trend_v1.0,0.205241519099,USDRUBF,M15,WF01,-0.551565728885
T3-M15-WF01-test-CNY-000008,T3,CNY,LONG,2024-02-19 11:45:00+03:00,12.774,12.7439892216,0.0300107784214,2024-02-19 15:45:00+03:00,12.7516892266,ATR_TRAILING_STOP,16,-717.164516301,-0.743425347647,0.0223107733811,0.018,0.743425347647,0.599784508993,-0.0223107733811,-0.743425347647,32144.3145,0,-717.164516301,0.001,30.0107784214,0,T3_MTF_Trend_v1.0,0.0300107784214,CNYRUBF,M15,WF01,-0.810068070869
T3-M15-WF01-test-CNY-000009,T3,CNY,SHORT,2024-02-28 16:15:00+03:00,12.657,12.6884307548,0.0314307547674,2024-02-29 15:45:00+03:00,12.5877035129,ATR_TRAILING_STOP,58,2111.04320442,2.20473506391,0.023,0.112,0.731767346035,3.56338881547,0.0692964871209,2.20473506391,30463.9281459,0,2111.04320442,0.001,31.4307547674,0,T3_MTF_Trend_v1.0,0.0314307547674,CNYRUBF,M15,WF01,2.14110312078
T3-M15-WF01-test-Si-000006,T3,Si,SHORT,2024-02-28 16:45:00+03:00,91.46,91.7125951095,0.252595109516,2024-02-29 15:45:00+03:00,91.1102501901,ATR_TRAILING_STOP,56,1335.19639753,1.3846262128,0.23,0.69,0.910548111723,2.73164433517,0.349749809861,1.3846262128,3817.57576383,0,1335.19639753,0.001,252.595109516,0,T3_MTF_Trend_v1.0,0.252595109516,USDRUBF,M15,WF01,1.37670840313
T3-M15-WF01-test-CNY-000010,T3,CNY,SHORT,2024-03-05 15:30:00+03:00,12.574,12.597091337,0.0230913370151,2024-03-05 16:45:00+03:00,12.597091337,ATR_TRAILING_STOP,5,-978.61468685,-1,0.0230913370151,0.01,1,0.433062840557,-0.0230913370151,-1,42380.1656098,0,-978.61468685,0.001,23.0913370151,0,T3_MTF_Trend_v1.0,0.0230913370151,CNYRUBF,M15,WF01,-1.08661256811
T3-M15-WF01-test-Si-000007,T3,Si,SHORT,2024-03-05 18:15:00+03:00,90.81,91.0153352254,0.205335225361,2024-03-06 14:30:00+03:00,90.5814023036,ATR_TRAILING_STOP,45,1088.41143934,1.11329021126,0.12,0.51,0.584410199413,2.48374334751,0.228597696421,1.11329021126,4761.25287517,0,1088.41143934,0.001,205.335225361,0,T3_MTF_Trend_v1.0,0.205335225361,USDRUBF,M15,WF01,1.10355004127
T3-M15-WF01-test-CNY-000011,T3,CNY,SHORT,2024-03-05 18:45:00+03:00,12.56,12.5878725659,0.0278725659085,2024-03-06 09:15:00+03:00,12.568,ATR_TRAILING_STOP,22,-278.073728314,-0.287020578811,0.012,0.017,0.430530868216,0.609918729973,-0.008,-0.287020578811,34759.2160392,0,-278.073728314,0.001,27.8725659085,0,T3_MTF_Trend_v1.0,0.0278725659085,CNYRUBF,M15,WF01,-0.358775723513
T3-M15-WF01-test-CNY-000012,T3,CNY,SHORT,2024-03-06 11:45:00+03:00,12.492,12.5132814019,0.021281401904,2024-03-06 13:45:00+03:00,12.5132814019,ATR_TRAILING_STOP,8,-966.047802699,-1,0.021281401904,0.009,1,0.422904470326,-0.021281401904,-1,45393.9927011,0,-966.047802699,0.001,21.281401904,0,T3_MTF_Trend_v1.0,0.021281401904,CNYRUBF,M15,WF01,-1.09397877118
